Round,Data_set,Study,SR_analysis,Diversity_analysis,Evenness_analysis,Country,Continent,Habitat,Life_form,Latitude,Longitude,Plot_type,Plot_size_min,Plot_size_max,Year1_min,Year1_max,Year2_min,Year2_max,Duration,N_time_points,N_plots_Year1,N_plots_Year2,SR_Year1_CT,SR_Year1_STDEV,SR_Year2_CT,SR_Year2_STDEV,Delta_SR_CT,Delta_SR_STDEV,CT,log_SR_ratio,Diversity_Year1_CT,Diversity_Year2_CT,Evenness_Year1_CT,Evenness_Year2_CT,Datathief,Driver
1,27,s13,1,0,0,Germany,Europe,Wetland,most,53.748711,7.514191,permanent,4,4,2002,2002,2007,2007,5,5,9,9,15.2,,10.9,,,,mean,-0.332532639,,,,,no,Management
1,28,s13,1,0,0,Germany,Europe,Wetland,most,53.748711,7.514191,permanent,4,4,2002,2002,2007,2007,5,5,17,17,5.2,,6.4,,,,mean,0.207639365,,,,,no,Management
1,29,s14a,1,0,0,"USA, Florida",NorthAmerica,Forest,woody,24.6,-81.3,semi-permanent,15.3,15.3,1988,1990,2001,2002,12.5,2,28,28,21.1765,16.60050203,23.1373,14.52570385,,,mean,0.088553958,,,,,yes,Herbivory_grazing
1,30,s14a,1,0,0,"USA, Florida",NorthAmerica,Forest,woody,24.6,-81.3,semi-permanent,30.5,30.5,1988,1990,2001,2002,12.5,2,12,12,11.9593,7.29262672,17.4982,2.280071683,,,mean,0.3805888,,,,,yes,Herbivory_grazing
1,31,s14b,1,0,0,"USA, Florida",NorthAmerica,Wetland,woody,24.6,-81.3,semi-permanent,30.5,30.5,1988,1990,2001,2002,12.5,2,24,24,4.99318,4.035093443,4.70532,2.594303576,,,mean,-0.059379198,,,,,yes,Herbivory_grazing
1,32,s15,1,1,1,"USA, Ohio",NorthAmerica,Wetland,most,39.93333333,-83.71666667,semi-permanent,1,1,1986,1986,2000,2000,14,3,100,100,12.49,1.58,14.57,1.41,,,mean,0.154036296,1.7,1.82,0.68,0.69,no,Unknown
1,33,s15,1,1,1,"USA, Ohio",NorthAmerica,Wetland,most,39.93333333,-83.71666667,semi-permanent,1,1,1986,1986,2000,2000,14,3,100,100,12.83,2.04,12.67,1.3,,,mean,-0.012549184,1.78,1.81,0.71,0.71,no,Unknown
1,34,s16,1,0,0,France,Europe,Grassland,most,43.18333333,5.35,permanent,100,100,1997,1997,2008,2008,11,2,56,56,18.57,10.67,24.02,12.68,,,mean,0.257339441,,,,,no,Seabirds
1,35,s17,1,0,0,United Kingdom,Europe,Grassland,most,50.930738,-0.860596,semi-permanent,49,49,1952,1953,2001,2003,49.5,2,92,92,25,,21.4,,,,mean,-0.155484903,,,,,no,Unknown
1,36,s18,1,0,0,Sweden,Europe,Grassland,most,56.764768,14.520263,semi-permanent,20,20,1963,1966,1990,1990,25.5,2,8,8,42.4,7.7,44.3,8.8,,,mean,0.043836315,,,,,no,Pollution
1,37,s19,1,0,0,"USA, Indiana",NorthAmerica,Savanna/Shrubland,most,42.66666667,-95.66666667,permanent,5,5,1986,1988,2007,2007,20,2,10,10,6.22,2.684773733,9.987,3.187575881,,,mean,0.473514341,,,,,yes,Ongoing-fire
1,38,s19,1,0,0,"USA, Indiana",NorthAmerica,Savanna/Shrubland,most,42.66666667,-95.66666667,permanent,5,5,1986,1988,2007,2007,20,2,11,11,12.057,5.280066666,14.231,3.694720016,,,mean,0.16577728,,,,,yes,Ongoing-fire
1,39,s19,1,0,0,"USA, Indiana",NorthAmerica,Savanna/Shrubland,most,42.66666667,-95.66666667,permanent,5,5,1986,1988,2007,2007,20,2,13,13,13.914,5.545337862,23.568,4.207678338,,,mean,0.526994332,,,,,yes,Ongoing-fire
1,40,s19,1,0,0,"USA, Indiana",NorthAmerica,Savanna/Shrubland,most,42.66666667,-95.66666667,permanent,5,5,1986,1988,2007,2007,20,2,9,9,16.512,4.455,22.878,4.776,,,mean,0.326088361,,,,,yes,Ongoing-fire
1,41,s19,1,0,0,"USA, Indiana",NorthAmerica,Savanna/Shrubland,most,42.66666667,-95.66666667,permanent,5,5,1986,1988,2007,2007,20,2,10,10,16.672,1.846770154,20.756,3.522777313,,,mean,0.219104696,,,,,yes,Ongoing-fire
1,42,s20,1,0,0,"USA, Illinois",NorthAmerica,Grassland,most,41.758252,-87.858635,semi-permanent,0.25,0.25,1976,1976,2003,2003,27,3,25,25,9.35,1.7,11.55,3.4,,,mean,0.211309094,,,,,no,Ongoing-fire
1,43,s20,1,0,0,"USA, Illinois",NorthAmerica,Grassland,most,41.758252,-87.858635,semi-permanent,0.25,0.25,1976,1976,2003,2003,27,3,25,25,12.75,2,12.95,2.85,,,mean,0.015564517,,,,,no,Ongoing-fire
1,44,s21,1,0,0,"USA, Illinois",NorthAmerica,Forest,shrub,42.180292,-87.910974,semi-permanent,10,10,1976,1976,1997,1997,21,2,10,10,3.6604,0.4761,1.5424,0.2209,,,mean,-0.864232786,,,,,yes,Unknown
1,45,s21,1,0,0,"USA, Illinois",NorthAmerica,Forest,shrub,42.180292,-87.910974,semi-permanent,10,10,1976,1976,1997,1997,21,2,10,10,1.4163,0.153,0.8961,0.085,,,mean,-0.457751102,,,,,yes,Unknown
1,46,s22,1,1,0,"USA, Illinois",NorthAmerica,Wetland,most,42,-88.25,permanent,0.25,0.25,1986,1987,1992,1992,5.5,2,16,15,6.19,,5.2,,,,mean,-0.174276461,1.278,1.22,,,no,Ongoing-fire
1,47,s22,1,1,0,"USA, Illinois",NorthAmerica,Wetland,most,42,-88.25,permanent,0.25,0.25,1986,1987,1992,1992,5.5,2,30,28,8.37,,6.79,,,,mean,-0.209202943,1.526,1.466,,,no,Ongoing-fire
1,48,s22,1,1,0,"USA, Illinois",NorthAmerica,Wetland,most,42,-88.25,permanent,0.25,0.25,1986,1987,1992,1992,5.5,2,20,23,8.75,,7.48,,,,mean,-0.156820908,1.512,1.374,,,no,Ongoing-fire
1,49,s22,1,1,0,"USA, Illinois",NorthAmerica,Wetland,most,42,-88.25,permanent,0.25,0.25,1986,1987,1992,1992,5.5,2,30,25,5.2,,5.24,,,,mean,0.007662873,1.441,1.511,,,no,Ongoing-fire
1,50,s22,1,1,0,"USA, Illinois",NorthAmerica,Wetland,most,42,-88.25,permanent,0.25,0.25,1986,1987,1992,1992,5.5,2,26,22,6.81,,5.18,,,,mean,-0.273587064,1.619,1.617,,,no,Ongoing-fire
1,51,s22,1,1,0,"USA, Illinois",NorthAmerica,Wetland,most,42,-88.25,permanent,0.25,0.25,1986,1987,1992,1992,5.5,2,19,21,5.84,,4.14,,,,mean,-0.344035009,1.342,1.078,,,no,Ongoing-fire
1,52,s23,1,0,0,"USA, Illinois",NorthAmerica,Grassland,most,40.58333333,-89.58333333,semi-permanent,0.25,0.25,1976,1976,1996,1996,20,2,70,113,5.3,0.223606798,6,0.206155281,,,mean,0.124052649,,,,,yes,Ongoing-fire
1,53,s23,1,0,0,"USA, Illinois",NorthAmerica,Grassland,most,40.58333333,-89.58333333,semi-permanent,0.25,0.25,1976,1976,1996,1996,20,2,90,173,4.95,0.200249844,5.4,0.206155281,,,mean,0.087011377,,,,,yes,Invasion
1,54,s24,0,1,0,"USA, Colorado",NorthAmerica,Tundra,most,40.05,-105.6,permanent,1.5,1.5,1997,1997,2004,2004,7,7,5,5,,,,,,,,,1.48332,1.83394,,,yes,Pollution
1,55,s25,1,0,0,"USA, Mississippi",NorthAmerica,Forest,understory,31.54109,-88.8277,permanent,0.25,0.25,2000,2000,2005,2005,5,3,20,20,6.2,1.788854382,2.9,0.447213595,,,mean,-0.759838555,,,,,yes,Invasion
1,56,s25,1,0,0,"USA, Mississippi",NorthAmerica,Forest,understory,31.54109,-88.8277,permanent,0.25,0.25,2000,2000,2005,2005,5,3,20,20,4.3,0.894427191,1.8,0.447213595,,,mean,-0.870828358,,,,,yes,Invasion
1,57,s26,0,0,0,United Kingdom,Europe,Tundra,most,57.35,-4.52,semi-permanent,2,4,1963,1987,2004,2006,30,2,205,205,,,,,3.01,,mean,,,,,,no,Climate
1,58,s26,0,1,0,United Kingdom,Europe,Tundra,most,57.35,-4.52,semi-permanent,2,4,1963,1987,2004,2006,30,2,205,205,,,,,,,,,1.873,1.671,,,no,Climate
1,59,s27,1,0,0,Sweden,Europe,Forest,understory,56,13.71,permanent,500,500,1983,1983,1993,1993,10,2,54,54,18,,22.1,,,,mean,0.205205851,,,,,no,Ongoing-disturbance
1,60,s27,1,0,0,Sweden,Europe,Forest,understory,56,13.71,permanent,500,500,1983,1983,1993,1993,10,2,30,30,19.9,,21.4,,,,mean,0.07267119,,,,,no,Management
1,61,s27,1,0,0,Sweden,Europe,Forest,understory,56.82,15.18,permanent,500,500,1983,1983,1993,1993,10,2,116,116,11,,25.6,,,,mean,0.844697079,,,,,no,Management
1,62,s28,1,0,0,Sweden,Europe,Forest,understory,56,13.71,permanent,50,50,1979,1981,1989,1990,9.5,2,26,26,14,,16.3,,,,mean,0.152107778,,,,,no,Ongoing-disturbance
1,63,s28,1,0,0,Sweden,Europe,Forest,understory,56,13.71,permanent,50,50,1979,1981,1989,1990,9.5,2,23,23,16.2,,19.2,,,,mean,0.169899037,,,,,no,Ongoing-disturbance
1,64,s28,1,0,0,Sweden,Europe,Forest,understory,56,13.71,permanent,50,50,1979,1981,1989,1990,9.5,2,21,21,8.3,,8.3,,,,mean,0,,,,,no,Management
1,65,s29,1,0,0,Sweden,Europe,Forest,understory,56,13.71,permanent,500,500,1983,1983,1993,1993,10,2,24,24,26.4,,26.1,,,,mean,-0.011428696,,,,,no,Management
1,66,s30,1,0,0,"USA, Tennessee",NorthAmerica,Forest,woody,35.7,-83.25,permanent,4000,4000,1962,1962,1992,1992,30,2,1,1,13,,14,,,,mean,0.074107972,,,,,no,Unknown
1,67,s31,1,0,0,"USA, Washington",NorthAmerica,Successional,most,46.22,-122.2,permanent,250,250,1980,1980,1999,1999,19,20,13,13,13.12,3.569495763,18.14,1.009554357,,,mean,0.323981661,,,,,yes,Post-disturbance
1,68,s31,1,0,0,"USA, Washington",NorthAmerica,Successional,most,46.22,-122.2,permanent,250,250,1980,1980,1992,1992,12,13,4,4,4.24,1.74,17.12,4,,,mean,1.395684101,,,,,yes,Post-disturbance
1,69,s31,1,0,0,"USA, Washington",NorthAmerica,Successional,most,46.22,-122.2,permanent,250,250,1980,1980,1999,1999,19,20,5,5,4.56,2.97397041,20.18,0.626099034,,,mean,1.487369391,,,,,yes,Post-disturbance
1,70,s31,1,0,0,"USA, Washington",NorthAmerica,Successional,most,46.22,-122.2,permanent,250,250,1982,1982,2000,2000,18,19,7,7,2.37,1.402248195,19.27,1.825568405,,,mean,2.095659527,,,,,yes,Post-disturbance
1,71,s32,1,0,0,Australia,Australia,Grassland,most,-23.706781,133.685646,permanent,8,8,1976,1976,2003,2003,27,25,24,24,3.42,,4.37,,,,mean,0.245122458,,,,,yes,Cessation_grazing
1,72,s33,1,1,1,"USA, Tennessee",NorthAmerica,Forest,tree,35.66,-83.44,semi-permanent,4000,4000,1968,1968,1983,1983,15,2,1,1,23,,20,,,,mean,-0.139761942,2.12,1.82,0.68,0.61,no,Post-disturbance
1,73,s34,1,0,0,"USA, Oklahoma",NorthAmerica,Grassland,most,35.2,-97.51,permanent,0.1,0.1,1949,1949,1981,1982,32.5,6,25,25,6,,3.7,,,,mean,-0.48342665,,,,,no,Post-fire
1,74,s35,1,0,0,"USA, Oregon",NorthAmerica,Forest,most,44.174325,-122.255287,permanent,1,1,1992,1992,2007,2007,15,16,24,24,5.208,,13.5,,,,mean,0.952493781,,,,,yes,Post-fire
1,75,s36,1,0,0,United Kingdom,Europe,Forest,understory,51.77,-1.34,permanent,100,100,1973,1976,1999,2002,26,3,59,59,16.3,,16.7,,,,mean,0.024243612,,,,,yes,Unknown
1,76,s36,1,0,0,United Kingdom,Europe,Forest,understory,51.77,-1.34,permanent,100,100,1973,1976,1999,2002,26,3,50,50,16.5,,10.3,,,,mean,-0.471216486,,,,,yes,Unknown
1,77,s36,1,0,0,United Kingdom,Europe,Forest,understory,51.77,-1.34,permanent,100,100,1973,1976,1999,2002,26,3,19,19,14.4,,14.9,,,,mean,0.034133006,,,,,yes,Unknown
1,78,s36,1,0,0,United Kingdom,Europe,Forest,understory,51.77,-1.34,permanent,100,100,1973,1976,1999,2002,26,3,35,35,16.5,,12.5,,,,mean,-0.277631737,,,,,yes,Unknown
1,79,s37,0,0,0,Puerto Rico,Caribbean,Forest,tree,18.322263,-65.818119,permanent,7200,7200,1943,1943,1976,1976,33,2,1,1,,,,,,,,,4.48,4,0.77,0.71,yes,Post-disturbance
1,80,s38,1,0,0,"USA, Oregon",NorthAmerica,Forest,understory,42.03093,-123.319,semi-permanent,25,25,1949,1951,2007,2007,57,2,55,55,14.5946,5.342311553,3.6515,2.588858676,,,mean,-1.385513555,,,,,yes,Climate
1,81,s38,1,0,0,"USA, Oregon",NorthAmerica,Forest,understory,42.03093,-123.319,semi-permanent,25,25,1949,1951,2007,2007,57,2,53,53,11.7269,4.56864039,3.4689,2.509780741,,,mean,-1.218047807,,,,,yes,Climate
1,82,s39,1,1,0,"Canada, Yukon",NorthAmerica,Tundra,most,61.38,-138.2,semi-permanent,4,4,1968,1968,2010,2010,42,2,1,1,29,,36,,,,mean,0.216223108,0.831,0.892,,,yes,Climate
1,83,s39,1,1,0,"Canada, Yukon",NorthAmerica,Tundra,most,61.38,-138.2,semi-permanent,2.5,2.5,1968,1968,2010,2010,42,2,1,1,15,,21,,,,mean,0.336472237,0.822,0.859,,,yes,Climate
1,84,s39,1,1,0,"Canada, Yukon",NorthAmerica,Tundra,most,61.38,-138.2,semi-permanent,4.3,4.3,1968,1968,2010,2010,42,2,1,1,27,,40,,,,mean,0.393042588,0.738,0.86,,,yes,Climate
1,85,s39,1,1,0,"Canada, Yukon",NorthAmerica,Tundra,most,61.38,-138.2,semi-permanent,2,2,1968,1968,2010,2010,42,2,1,1,16,,35,,,,mean,0.782759339,0.761,0.919,,,yes,Climate
1,86,s40,1,0,0,"Denmark, Greenland",Europe,Tundra,most,65.61666667,-37.66666667,semi-permanent,1,1,1968,1969,2007,2007,38.5,2,9,9,7,,10.3,,,,mean,0.386233746,,,,,no,Climate
1,87,s40,1,0,0,"Denmark, Greenland",Europe,Tundra,most,65.61666667,-37.66666667,semi-permanent,2,9,1968,1969,2007,2007,38.5,2,10,10,22.6,,25.7,,,,mean,0.128541086,,,,,no,Climate
1,88,s40,1,0,0,"Denmark, Greenland",Europe,Tundra,most,65.61666667,-37.66666667,semi-permanent,1,6,1968,1969,2007,2007,38.5,2,10,10,34.3,,39.6,,,,mean,0.143683764,,,,,no,Climate
1,89,s40,1,0,0,"Denmark, Greenland",Europe,Tundra,most,65.61666667,-37.66666667,permanent,1,1,1981,1981,2007,2007,26,2,5,5,16.4,,13.8,,,,mean,-0.172612743,,,,,no,Climate
1,90,s40,1,0,0,"Denmark, Greenland",Europe,Tundra,most,65.61666667,-37.66666667,permanent,1,1,1981,1981,2007,2007,26,2,6,6,27.5,,25,,,,mean,-0.09531018,,,,,no,Climate
1,91,s40,1,0,0,"Denmark, Greenland",Europe,Tundra,most,65.61666667,-37.66666667,semi-permanent,4,9,1968,1969,2007,2007,38.5,2,11,11,14.6,,14,,,,mean,-0.041964199,,,,,no,Climate
1,92,s40,1,0,0,"Denmark, Greenland",Europe,Tundra,most,65.61666667,-37.66666667,semi-permanent,1,2,1968,1969,2007,2007,38.5,2,9,9,17.3,,29.2,,,,mean,0.523462208,,,,,no,Climate
1,93,s40,1,0,0,"Denmark, Greenland",Europe,Tundra,most,65.61666667,-37.66666667,semi-permanent,1,9,1968,1969,2007,2007,38.5,2,13,13,24.5,,24.7,,,,mean,0.008130126,,,,,no,Climate
1,94,s41,1,1,0,"USA, New Jersey",NorthAmerica,Forest,understory,40.5,-74.57,semi-permanent,1,1,1950,1950,1979,1979,29,3,100,100,33,,26,,,,mean,-0.238411023,0.76,0.81,,,no,Unknown
1,95,s42,0,1,1,Argentina,SouthAmerica,Grassland,most,-38.08333333,-62,semi-permanent,20,20,1993,1993,2003,2003,10,2,3,3,,,,,,,,,2.7,2.9,0.67,0.6,no,Herbivory_grazing
1,96,s43,1,0,0,France,Europe,Forest,most,43.66666667,3.833333333,permanent,320,320,1977,1978,1994,1996,17.5,2,34,34,51.2,13.9,45.8,12.9,,,mean,-0.111455441,,,,,no,Management
1,97,s43,1,0,0,France,Europe,Forest,most,43.66666667,3.833333333,permanent,320,320,1977,1978,1994,1996,17.5,2,10,10,56.8,13.4,56.7,7.6,,,mean,-0.001762115,,,,,no,Management
1,98,s44,1,1,0,"USA, Washington",NorthAmerica,Successional,most,46.22,-122.2,permanent,250,250,1990,1990,2005,2005,15,16,20,20,6.25,,16.9,,,,mean,0.994732158,2.26,1.71,,,no,Post-disturbance
1,99,s45,1,0,0,"USA, Wyoming",NorthAmerica,Forest,herb,43.807774,-110.640793,permanent,6,6,1975,1975,1991,1991,16,5,1,1,11,,20,,,,mean,0.597837001,,,,,no,Post-fire
1,100,s45,1,0,0,"USA, Wyoming",NorthAmerica,Forest,herb,43.807774,-110.640793,permanent,6,6,1975,1975,1991,1991,16,5,1,1,21,,44,,,,mean,0.739667196,,,,,no,Post-fire
1,101,s45,1,0,0,"USA, Wyoming",NorthAmerica,Forest,herb,43.807774,-110.640793,permanent,6,6,1975,1975,1991,1991,16,5,1,1,17,,15,,,,mean,-0.125163143,,,,,no,Unknown
1,102,s46,0,1,1,"USA, North Carolina",NorthAmerica,Forest,woody,35.05,-83.41666667,permanent,200,200,1982,1982,1995,1995,13,2,26,26,,,,,,,,,2.02304,2.55874,0.642056,0.354181,yes,Post-disturbance
1,103,s47,0,0,0,Italy,Europe,Tundra,most,46.31666667,11.55,permanent,1,1,2001,2001,2008,2008,7,3,16,16,,,,,0.4,,mean,,,,,,no,Climate
1,104,s47,0,0,0,Italy,Europe,Tundra,most,46.31666667,11.55,permanent,1,1,2001,2001,2008,2008,7,3,16,16,,,,,-1.2,,mean,,,,,,no,Climate
1,105,s47,0,0,0,Italy,Europe,Tundra,most,46.31666667,11.55,permanent,1,1,2001,2001,2008,2008,7,3,16,16,,,,,0.8,,mean,,,,,,no,Climate
1,106,s47,0,0,0,Italy,Europe,Tundra,most,46.51666667,11.61666667,permanent,1,1,2001,2001,2008,2008,7,3,16,16,,,,,1.3,,mean,,,,,,no,Climate
1,107,s48,1,0,0,"USA, New Jersey",NorthAmerica,Forest,understory,41.51666667,-74.81666667,permanent,8,8,1994,1994,2003,2003,9,4,54,54,5.04,3.76,7.25,4.25,,,mean,0.363595387,,,,,no,Post-disturbance
1,108,s48,1,0,0,"USA, New Jersey",NorthAmerica,Forest,understory,41.51666667,-74.81666667,permanent,8,8,1994,1994,2003,2003,9,4,37,37,4.18,2.88,5.38,4.04,,,mean,0.252377128,,,,,no,Post-disturbance
1,109,s49,1,0,0,Finland,Europe,Savanna/Shrubland,most,69.05,20.83333333,permanent,0.25,0.25,1990,1990,1999,2001,10,2,6,6,23.9444,5.244357539,27.718,7.418769584,,,mean,0.146347546,,,,,yes,Cessation_grazing
1,110,s49,1,0,0,Finland,Europe,Savanna/Shrubland,most,69.05,20.83333333,permanent,0.25,0.25,1990,1990,1999,2001,10,2,24,24,26.2246,7.162797906,34.698,9.465318264,,,mean,0.279984147,,,,,yes,Cessation_grazing
1,111,s50,1,0,0,Netherlands,Europe,Wetland,most,53.26666667,7.166666667,permanent,100,100,1983,1983,1997,1997,14,3,64,64,8,,10,,,,mean,0.223143551,,,,,no,Management
1,112,s51,1,0,0,Sweden,Europe,Forest,understory,55.964576,13.715515,permanent,1,100,1949,1970,1984,1985,25,2,79,79,9.7,,11.1,,,,mean,0.134819223,,,,,no,Pollution
1,113,s52,1,0,0,Germany,Europe,Grassland,most,49.86666667,8.65,permanent,4,4,2000,2001,2008,2009,8,9,5,5,32.2,,25.5,,,,mean,-0.233288,,,,,yes,Unknown
1,114,s53,1,1,1,Brazil,SouthAmerica,Savanna/Shrubland,woody,-15.93333333,-47.91666667,permanent,1000,1000,1985,1985,1994,1994,9,4,19,19,30,,32,,,,mean,0.064538521,3.46,3.36,0.84,0.83,yes,Unknown
1,115,s54,1,0,0,Switzerland,Europe,Grassland,most,47.342545,7.695007,semi-permanent,100,100,1946,1953,1983,1987,35.5,2,26,26,45.4,9.22922532,49.8,9.22922532,,,mean,0.092502879,,,,,no,Fragmentation
1,116,s55,1,0,0,French Guiana,SouthAmerica,Forest,most,4.083333333,-52.68333333,permanent,2,2,1995,1995,2005,2005,10,2,89,89,15.3515,,13.5638,,,,mean,-0.12380871,,,,,yes,Climate
1,117,s55,1,0,0,French Guiana,SouthAmerica,Forest,most,4.083333333,-52.68333333,permanent,2,2,1995,1995,2005,2005,10,2,64,64,16.9567,,13.9706,,,,mean,-0.193707914,,,,,yes,Climate
1,118,s55,1,0,0,French Guiana,SouthAmerica,Forest,most,4.083333333,-52.68333333,permanent,2,2,1995,1995,2005,2005,10,2,52,52,20.7335,,17.523,,,,mean,-0.168236446,,,,,yes,Climate
1,119,s56,1,0,0,United Kingdom,Europe,Forest,woody,52.4,-0.233333333,semi-permanent,150,150,1971,1971,1998,1998,27,2,31,31,7.14,,6.72,,,,mean,-0.060624622,,,,,no,Management
1,120,s57,1,0,0,"USA, New Mexico",NorthAmerica,Grassland,most,32.810362,-106.847992,permanent,1,1,1915,1915,1979,1979,64,61,30,30,5.82903,,4.95243,,,,mean,-0.162972241,,,,,yes,Unknown
